index,State,notesList,notesPath,item,latitude,longitude,PostalCode.y,X,path,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,PostalCode.x,GEO_ID,Tract,County,povCond,S1701_C03_001E,S1701_C01_001E,propWhite,propBlack,propNative,propAsian,propPacIslander,propOther,propMulti,propHispanic,propWhiteNotHispanic,FIPS,GISJOIN,YEAR,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME.y,Metropolitan.Division.Code,CSA.Code,CBSA.Title,Metropolitan.Micropolitan.Statistical.Area,Metropolitan.Division.Title,CSA.Title,County.County.Equivalent,State.Name,Central.Outlying.County,CBSA_Met,include,closest,closest_dist,dist_flag,duplicated_loc,personPresent,noBuildings,noSVImage,SVIssue,identifiableLoc,culturalMarker,culturalMarkerType,culturalMarkerText
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_0_134.jpg,27.51609862,-99.48789682,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_1_134.jpg,20.84987392,TRUE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_1_134.jpg,27.51622014,-99.48805794,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_0_134.jpg,20.84987392,TRUE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_2_134.jpg,27.51197864,-99.48784978,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_6_134.jpg,220.7302379,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_3_134.jpg,27.5215628,-99.49255691,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_7_134.jpg,145.2954143,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_4_134.jpg,27.52119215,-99.48976692,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_7_134.jpg,265.1331182,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_5_134.jpg,27.51857493,-99.48686891,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_14_134.jpg,135.6924451,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_6_134.jpg,27.5135479,-99.48922582,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_13_134.jpg,174.2101364,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_7_134.jpg,27.5202808,-99.49224832,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_3_134.jpg,145.2954143,FALSE,NA,1,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_8_134.jpg,27.5198345,-99.48722285,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_14_134.jpg,90.89444414,FALSE,NA,,,,,,,,
134,Texas,TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,/Volumes/GoogleDrive/Shared drives/MiSL_Docs/[Research] Space Sampling/MSA_Sampling/9.21Sampling/TX/export/StreetView_Images_09.28.2022225125/134/log_file.txt,IMG_9_134.jpg,27.5158256,-99.48842516,TX,789,/Users/npcamp/Downloads/ACSTractPovertyRates/TX/export/StreetView_Images_03.08.2022195554/dbf_info.csv,48,479,904,48479000904,9.04,Census Tract 9.04,G5020,S,762839,0,27.5167011,-99.4896709,TX,1400000US48479000904,9.04,Webb County,highPov,41.2,3780,0.8201058201,0,0.001322751323,0,0,0.03756613757,0.141005291,0.964021164,0.03597883598,48,G4804790000904,2020,48479000904,3,7,Texas,48,Webb County,479,NA,NA,NA,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,NA,NA,29700,1,999,99999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762839,0,9.04,Census Tract 9.04,NA,NA,"Laredo, TX",Metropolitan Statistical Area,,,Webb County,Texas,Central,"Laredo, TX",1,IMG_1_134.jpg,56.81253132,FALSE,NA,,,,1,,,,
